date,read_bytes,write_bytes
2017-07-12,659749346945836.0,522728537956654.0
2017-07-13,466229460081837.0,480870416869341.0
2017-07-14,508215823707060.0,425403877861782.0
2017-07-15,289584261481330.0,341356211445258.0
2017-07-16,294512042682455.0,381865603053374.0
2017-07-17,363821719905171.0,536696607748072.0
2017-07-18,339361137211788.0,538286819375865.0
2017-07-19,608736824268639.0,1.19259637239728e+15
2017-07-20,1.11937068062216e+15,1.38165326883763e+15
2017-07-21,654713813313873.0,803692210869255.0
2017-07-22,531216493597438.0,846106024451443.0
2017-07-23,1.1303612613942e+15,848645221030289.0
2017-07-24,2.15561597644448e+15,736182625055294.0
2017-07-25,1.49821164164444e+15,827799408736975.0
2017-07-26,1.15381821071373e+15,747824393444218.0
2017-07-27,1.21605755239544e+15,550768576434966.0
2017-07-28,1.08497199195962e+15,581736319721125.0
2017-07-29,1.15780379095063e+15,740537945899852.0
2017-07-30,993653698714393.0,271594820211189.0
2017-07-31,785065248294357.0,394303765154682.0
2017-08-01,482682770456730.0,380904324640843.0
2017-08-02,267966744599793.0,218699758542205.0
2017-08-03,436071847097843.0,412364771233033.0
2017-08-04,384534023004773.0,490999943161776.0
2017-08-05,323833921373267.0,380170577663202.0
2017-08-06,304833402234072.0,279620469000818.0
2017-08-07,515864020023554.0,502536677969171.0
2017-08-08,111590653036572.0,154686136929723.0
2017-08-09,126405460987569.0,86485451139140.0
2017-08-10,320453558450162.0,115921337867740.0
2017-08-11,300943009625003.0,304244063744227.0
2017-08-12,626197575596486.0,308639890399068.0
2017-08-13,375538888712414.0,265634375631525.0
2017-08-14,1.22176608610884e+15,335714006910273.0
2017-08-15,573161077225285.0,424316956995553.0
2017-08-16,578059738460261.0,495490195413513.0
2017-08-17,550009297725555.0,424910301693345.0
2017-08-18,470278370731763.0,463485147494994.0
2017-08-19,366632595769868.0,474315643123742.0
2017-08-20,416916715749467.0,448391319802674.0
2017-08-21,433858435185300.0,539553155224737.0
2017-08-22,570231820241557.0,509846117955244.0
2017-08-23,512471565521048.0,665175789719020.0
2017-08-24,578717624619906.0,539104892733497.0
2017-08-25,517893688024739.0,407671716832302.0
2017-08-26,427323507877159.0,352618617808773.0
2017-08-27,419949082709104.0,329761154962577.0
2017-08-28,527413985014151.0,321628854857798.0
2017-08-29,755092009407290.0,396915287995893.0
2017-08-30,680760585732827.0,434720743892210.0
2017-08-31,621459519648495.0,408894973081477.0
2017-09-01,5944167014642.1,5471476841402.55
2017-09-05,0.0,0.0
2017-09-06,141426801910032.0,136335767972633.0
2017-09-07,568810603772168.0,460539596501329.0
2017-09-08,536070489833176.0,496498602214642.0
2017-09-09,816312219318659.0,395439572058947.0
2017-09-10,465473878275973.0,404676486750619.0
2017-09-11,600012770825501.0,532269088156748.0
2017-09-12,653262939004130.0,570093407562855.0
2017-09-13,582951194233604.0,887796891151037.0
2017-09-14,527731169716702.0,655881830106026.0
2017-09-15,801455087937054.0,666929549179713.0
2017-09-16,515072851837571.0,670349753001940.0
2017-09-17,1.08884259106421e+15,585644098473137.0
2017-09-18,733405888772644.0,836731314865988.0
2017-09-19,732689440334097.0,594837162646040.0
2017-09-20,694111604432684.0,444759287609563.0
2017-09-21,543910113750382.0,1.36390790772583e+15
2017-09-22,592144234051891.0,659164779523290.0
2017-09-23,772905653987317.0,739940244635999.0
2017-09-24,630600783348309.0,518389652357382.0
2017-09-25,685819805436105.0,745405140478078.0
2017-09-26,1.58716219115308e+15,1.37476990092375e+15
2017-09-27,1.03431446687981e+15,890408913633942.0
2017-09-28,891701027230417.0,598791799403021.0
2017-09-29,1.0650702696052e+15,519039918591248.0
2017-09-30,1.397021538048e+15,470987074409473.0
2017-10-01,714900478411574.0,524557912037301.0
2017-10-02,666531351899452.0,451280822057388.0
2017-10-03,673773499662745.0,487556165506229.0
2017-10-04,805180478918033.0,552237316328678.0
2017-10-05,755280672830347.0,523376794839973.0
2017-10-06,337634828318002.0,288121539840307.0
2017-10-09,120264981134393.0,102893535508742.0
2017-10-10,557709327262656.0,444250339533981.0
2017-10-11,593823429282701.0,537786890949548.0
2017-10-12,387320180048393.0,601086505871013.0
2017-10-13,672673576210709.0,455351569701585.0
2017-10-14,351496315862486.0,390890362620459.0
2017-10-15,330734474306793.0,333845697266201.0
2017-10-16,342849155557496.0,366279301298281.0
2017-10-17,1.22239810782889e+15,475779817489512.0
2017-10-18,453940039514073.0,347630003701035.0
2017-10-19,359101008148853.0,322750451814055.0
2017-10-20,386514007186749.0,700204263443031.0
2017-10-21,249839106341331.0,813153987202883.0
2017-10-22,487060664495740.0,1.95031632806978e+15
2017-10-23,526625183189719.0,663057130227007.0
2017-10-24,596007357502399.0,932302639930050.0
2017-10-25,602851850811299.0,771144408169832.0
2017-10-26,448560078598909.0,1.21014684859058e+15
2017-10-27,574718043519297.0,813768243841947.0
2017-10-28,567157193591531.0,510617732739385.0
2017-10-29,578607182914955.0,741673781848489.0
2017-10-30,1.52337434596396e+15,1.2308483278782e+15
2017-10-31,1.73383323543526e+15,840805494994377.0
2017-11-01,682914517274917.0,834634568298300.0
2017-11-02,1.11818257739515e+15,1.1874692723717e+15
2017-11-03,656338267332000.0,525469082564160.0
2017-11-04,2.9475274076346e+15,722250253214059.0
